Name,Genre
We Cheer,Simulation
Madden NFL 07,Sports
Ready 2 Rumble Boxing: Round 2,Fighting
LEGO Jurassic World,Action
Mega Man 6,Platform
NBA Live 09,Sports
FIFA 12,Sports
Mission: Impossible,Action
Rory McIlroy PGA Tour,Action
SingStar Dance,Misc
Rival Schools: United By Fate,Fighting
Lords of the Fallen,Role-Playing
Swing Away Golf,Sports
J-League Pro Soccer Club o Tsukurou! 3,Sports
Tomb Raider: Legend,Action
Freedom Fighters,Shooter
Silent Hill: Origins,Action
Gun,Shooter
That's So Raven 2: Supernatural Style,Adventure
Fight Night Round 3,Fighting
The Punisher,Action
Kirby and the Rainbow Curse,Platform
Front Mission 3,Strategy
Kenkou Ouen Recipe 1000: DS Kondate Zenshuu,Misc
SSX On Tour,Sports
 Frozen: Olaf's Quest,Platform
Disgaea 3: Absence of Justice,Role-Playing
Tony Hawk's Pro Skater 3,Sports
Way of the Samurai 3,Action
The Sims 2: Open for Business,Simulation
Rune Factory 2: A Fantasy Harvest Moon,Role-Playing
Harry Potter and the Prisoner of Azkaban,Action
Omega Boost,Shooter
NFL 2K3,Sports
Cars 2,Racing
Go Diego Go! Safari Rescue,Action
SimAnimals,Simulation
NBA Live 2002,Sports
Jampack Winter 2002,Misc
LEGO Marvel Super Heroes,Action
Way of the Samurai,Action
The 3rd Birthday,Role-Playing
Sonic & All-Stars Racing Transformed,Racing
Kung Fu Panda,Action
Classic Word Games,Misc
Epic Mickey 2: The Power of Two,Action
Fishing Derby,Sports
Pac-Man Fever,Misc
Spectrobes: Beyond the Portals,Role-Playing
International Track & Field,Sports
HSX HyperSonic.Xtreme,Racing
Lair,Action
Madden NFL 2004,Sports
Jikkyou Powerful Pro Yakyuu 10,Sports
Summoner,Role-Playing
Soul Sacrifice,Role-Playing
Virtual Pool,Sports
DC Universe Online,Role-Playing
Jam With the Band,Misc
NBA Live 07,Sports
IL-2 Sturmovik: Birds of Prey,Simulation
100 All-Time Favorites,Puzzle
The Walking Dead: Survival Instinct,Shooter
Major League Baseball 2K10,Sports
Alice in Wonderland,Adventure
Ratatouille,Action
"SpongeBob SquarePants: Lights, Camera, Pants!",Misc
Wrecking Crew,Platform
Rugrats: Scavenger Hunt,Misc
International Superstar Soccer 2000 (All region sales),Sports
NBA Live 2004,Sports
Iron Man,Action
Alien: Isolation,Shooter
Dai-4-Ji Super Robot Taisen S,Strategy
Pro Evolution Soccer 2010,Sports
Disney's Kim Possible: Revenge of Monkey Fist,Platform
Naruto Shippuden: Clash of Ninja Revolution 3,Fighting
Ace Combat Zero: The Belkan War,Simulation
Dragon Age: Origins,Role-Playing
Dynasty Warriors,Action
NHL 07,Sports
SoulCalibur: Broken Destiny,Fighting
Dishonored,Action
Dragon Ball: Raging Blast,Fighting
Naruto Shippuden: Ultimate Ninja Storm 3,Fighting
Petz: Hamsterz Life 2,Misc
World Championship Poker,Misc
The BIGS,Sports
WWE 2K16,Sports
Final Fantasy,Role-Playing
Dragon Ball Z: Supersonic Warriors,Fighting
NBA Ballers,Sports
Silent Hill 4: The Room,Action
River Raid II,Shooter
Capcom Classics Collection,Misc
My Word Coach,Misc
Monopoly Party,Misc
Tiger Woods PGA Tour 13,Sports
NHL FaceOff 98,Sports
The Saboteur,Action
The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,Action
Sonic Riders,Racing
Looney Tunes: Back in Action,Platform
Monsters vs. Aliens,Action
Midnight Magic,Action
NHL 09,Sports
Bully: Scholarship Edition,Action
WWE SmackDown vs. RAW 2007,Fighting
Midnight Club II,Racing
Monster Hunter Freedom 2,Role-Playing
Tiger Woods PGA Tour 07,Sports
Ratatouille,Action
Avatar: The Last Airbender,Adventure
Blue's Clues: Blue's Big Musical,Misc
The Mummy Returns,Action
Cars Toon: Mater's Tall Tales,Misc
Paws & Claws: Dogs & Cats Best Friends,Simulation
Hitman: Blood Money,Action
Disney Sing It,Misc
Chopper Command,Shooter
Lost: Via Domus,Action
Crash: Mind Over Mutant,Platform
Activision Anthology,Misc
Picross DS,Puzzle
Pro Evolution Soccer 2012,Action
Final Fantasy II Anniversary Edition,Role-Playing
Test Drive Unlimited,Racing
Harry Potter and the Half-Blood Prince,Action
Unit 13,Shooter
R.U.S.E.,Strategy
Theatrhythm: Final Fantasy,Misc
Prince of Persia Trilogy,Action
Goldeneye 007: Reloaded,Shooter
Rugrats in Paris: The Movie,Action
Hidden Mysteries: Titanic - Secrets of the Fateful Voyage,Adventure
Star Wars: Jedi Starfighter,Simulation
Tactics Ogre: The Knight of Lodis,Role-Playing
"Transformers: War for Cybertron (XBox 360, PS3, & PC Versions)",Shooter
Super Robot Taisen MX,Strategy
Sega Bass Fishing,Sports
Bases Loaded '96: Double Header,Sports
Dead or Alive Ultimate,Fighting
RPG Maker,Role-Playing
Major League Baseball 2K12,Sports
Rooms: The Main Building,Adventure
Dance Dance Revolution Universe 2,Simulation
Burnout Revenge,Racing
Star Wars: Clone Wars,Shooter
The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,Action
Madden NFL 13,Sports
Madden NFL 11,Sports
Monster Hunter,Role-Playing
NBA Street Homecourt,Sports
Tony Hawk's Underground 2,Sports
SplashDown: Rides Gone Wild,Racing
Super Famista 5,Sports
Shrek SuperSlam,Action
Rayman Advance,Platform
Super Robot Taisen Z,Strategy
PoPoLoCrois Monogatari,Role-Playing
Wet,Shooter
Tomb Raider: Anniversary,Action
Fantastic 4,Action
Men in Black II: Alien Escape,Shooter
RealSports Tennis,Sports
Nicktoons: Attack of the Toybots,Platform
Raiders of the Lost Ark,Action
Gauntlet,Action
Alice: Madness Returns,Adventure
Madden NFL 07,Sports
Spider-Man 2,Action
Ridge Racer 3D,Racing
Picross 3D,Puzzle
Dynasty Warriors: Gundam 2,Action
Cars Mater-National Championship,Racing
Tony Hawk's Underground 2,Sports
Super Monkey Ball 3D,Action
Euro Truck Simulator,Simulation
SpongeBob SquarePants: Creature from the Krusty Krab,Platform
Dragon Quest Heroes: The World's Tree Woe and the Blight Below,Action
F1 2012,Racing
NBA 2K11,Action
Ice Hockey,Sports
Tony Hawk's Project 8,Sports
Babysitting Mama,Simulation
Bleach: Soul Resurreccion,Fighting
The Matrix: Path of Neo,Action
Dragon Ball Z: Supersonic Warriors 2,Fighting
Sonic Lost World,Platform
WWE Wrestlemania X8,Fighting
Boogie,Misc
The Price is Right,Misc
Power Rangers: Dino Thunder,Action
GoldenEye: Rogue Agent,Shooter
Fire Emblem: Radiant Dawn,Strategy
The Sims,Simulation
Plants vs. Zombies: Garden Warfare 2,Shooter
Grandia III,Role-Playing
Ace Combat: Assault Horizon,Action
Mobile Suit Gundam Seed Destiny: Rengou vs. Z.A.F.T. II Plus,Shooter
Mario & Wario,Puzzle
Scarface: The World is Yours,Action
Resident Evil: The Mercenaries 3D,Action
FIFA Soccer 64,Sports
Dreamworks Madagascar Kartz,Racing
Star Wars Battlefront: Elite Squadron,Shooter
Epic Mickey: Power of Illusion,Action
Kane & Lynch 2: Dog Days,Shooter
J-League Pro Soccer Club wo Tsukurou! 2,Sports
SpongeBob SquarePants: Creature from the Krusty Krab,Platform
Backyard Baseball,Sports
WipEout Pulse,Racing
Middle-Earth: Shadow of Mordor,Action
Barbie Horse Adventures: Wild Horse Rescue,Sports
Pokemon Art Academy ,Misc
Taiko no Tatsujin: Appare Sandaime,Misc
One Piece: Grand Battle!,Fighting
Sonic & All-Stars Racing Transformed,Racing
Medal of Honor,Shooter
Asphalt 3D,Racing
"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",Shooter
Crazy Taxi,Racing
Dragon Ball Z: Burst Limit,Fighting
Spy Hunter 2,Racing
Pac-Man World 2,Action
Die Hard Trilogy 2: Viva Las Vegas,Action
Momotarou Dentetsu X: Kyuushuu-hen mo Arubai,Misc
Sniper: Art of Victory,Shooter
Tales of Legendia,Role-Playing
SimCity 2000,Simulation
FIFA Soccer 09,Sports
Steel Diver,Action
Bravely Second: End Layer,Role-Playing
Alone in the Dark,Adventure
Football Manager Handheld 2009,Sports
Puzzle & Dragons Z + Super Mario Bros. Edition,Puzzle
Shrek the Third,Action
Madagascar: Operation Penguin,Action
Need for Speed: Porsche Unleashed,Racing
Yu-Gi-Oh! Forbidden Memories (JP sales),Role-Playing
Far Cry 2,Action
NFL Street 2,Sports
Millipede,Shooter
The Legend of the Mystical Ninja,Adventure
Mad Max (2015),Action
Rock Band Unplugged,Misc
Ultimate I Spy,Adventure
Jeopardy!,Misc
Destroy All Humans! 2,Action
Skylanders: SuperChargers,Action
ECW Hardcore Revolution,Fighting
You're in the Movies,Misc
Cars 2,Racing
Scene It? Lights Camera Action,Misc
MotorStorm: Apocalypse,Racing
Dark Sector,Shooter
Wu-Tang: Shaolin Style,Fighting
Tiger Woods PGA Tour 07,Sports
Plants vs. Zombies: Garden Warfare 2,Shooter
Mario Golf: World Tour,Sports
Secret Weapons Over Normandy,Simulation
Harvest Moon 64,Simulation
All-Star Baseball 99,Sports
NCAA Football 09,Sports
Bratz: The Movie,Simulation
Crash of the Titans,Action
Dragon Ball: XenoVerse,Fighting
Rayman Raving Rabbids: TV Party,Misc
Lollipop Chainsaw,Action
"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",Shooter
Vigilante 8: 2nd Offense,Racing
The Saboteur,Action
Metal Gear Rising: Revengeance,Action
Atelier Rorona: Alchemist of Arland,Role-Playing
Theme Park Roller Coaster,Strategy
Bass Pro Shops: The Strike,Sports
Bakugan Battle Brawlers: Defenders of the Core,Action
NFL Xtreme 2,Sports
Major League Baseball 2K13,Sports
Scrabble 2007 Edition,Puzzle
NHL 16,Sports
Midnight Club: Street Racing,Racing
Tiger Woods PGA Tour 06,Sports
Fortune Street,Misc
FIFA World Cup Germany 2006,Sports
Up,Action
Grand Prix,Racing
Jake Power: Fireman,Adventure
World of Outlaws: Sprint Cars 2002,Racing
Children of Mana,Role-Playing
Sonic the Hedgehog,Platform
Fantavision,Puzzle
Double Dragon,Action
Alien Trilogy,Shooter
NBA Live 99,Sports
Karate,Fighting
X-Men: Next Dimension,Fighting
Go Diego Go! Great Dinosaur Rescue,Action
The Godfather (JP sales),Action
Dynasty Warriors Gundam,Action
Doom 3 BFG Edition,Shooter
Alice in Wonderland,Adventure
Spider-Man 3,Platform
Super Puyo Puyo 2,Puzzle
Rock Band 4,Misc
Gauntlet Legends,Action
James Bond 007: Blood Stone,Shooter
WipEout,Action
Street Fighter X Tekken,Fighting
Dark Sector,Shooter
ICO,Action
World of Warcraft: Warlords of Draenor,Action
Ford Racing Off Road,Racing
Cars: Race-O-Rama,Racing
Dragon Quest 25 Shuunen Kinin: Famicom & Super Famicom Dragon Quest I-II-III,Role-Playing
Unreal Tournament III,Shooter
FIFA Soccer 13,Action
Victorious Boxers: Ippo's Road to Glory,Fighting
Densetsu no Stafi,Platform
Valkyrie Profile 2: Silmeria,Role-Playing
Pinball Hall of Fame: The Williams Collection,Misc
Hot Wheels Velocity X,Racing
MySims Racing,Racing
Clash of Elementalists,Action
F.E.A.R. 2: Project Origin,Shooter
The Sims 2: Pets,Simulation
L.A. Rush,Racing
Momotarou Dentetsu V,Misc
Doom 64,Shooter
Bomberman Hero,Platform
Automobili Lamborghini,Racing
Quest 64,Role-Playing
Crash: Mind Over Mutant,Platform
Viva Pinata: Trouble in Paradise,Simulation
Epic Mickey 2: The Power of Two,Action
Commando,Action
NBA Ballers: Phenom,Sports
Dragon Age Origins: Awakening,Role-Playing
Need for Speed Carbon,Racing
Shadowrun,Role-Playing
Crazy Taxi: Fare Wars,Racing
MTV Music Generator,Misc
"Warhammer 40,000: Dawn of War II",Strategy
Hamsterz Life,Action
Emergency Heroes,Racing
Super Momotarou Dentetsu DX,Misc
FlingSmash,Action
World Soccer Winning Eleven 8: Liveware Evolution,Sports
Cars: Race-O-Rama,Racing
Downhill Domination,Racing
Dead Space Extraction,Shooter
Pirates of the Caribbean: Dead Man's Chest,Adventure
Silent Hill: Shattered Memories,Action
Active Life: Extreme Challenge,Sports
FIFA 12,Sports
Spider-Man: Friend or Foe,Action
World Series of Poker,Misc
Inazuma Eleven Go 2: Chrono Stone,Role-Playing
NHL 97,Sports
Final Fantasy Crystal Chronicles: Echoes of Time,Role-Playing
Rise of Nightmares,Action
EA Sports UFC,Sports
Kong: The 8th Wonder of the World,Action
Spider-Man 3,Platform
Dead or Alive 4,Fighting
Godzilla: Save the Earth,Fighting
Dance Dance Revolution: Mario Mix,Misc
Metal Gear Solid: The Twin Snakes,Action
Tiger Woods PGA Tour 07,Sports
Art Academy: Lessons for Everyone,Action
Mat Hoffman's Pro BMX 2,Sports
Metal Gear Solid: The Essential Collection,Adventure
One Piece: Pirate Warriors 3,Action
Iridion 3D,Shooter
2010 FIFA World Cup South Africa,Sports
Classic NES Series: Pac-Man,Puzzle
Two Worlds II,Role-Playing
Football Manager 2015,Simulation
Destroy All Humans!,Shooter
Petz Sports,Simulation
Imagine: Figure Skater (US sales),Sports
SimCity Creator,Simulation
Dragon Ball Z: Collectible Card Game,Misc
Circus Atari,Action
Harry Potter and the Order of the Phoenix,Action
The Sims 3: Ambitions,Simulation
Razor Freestyle Scooter,Sports
Disney's Kim Possible 3: Team Possible,Platform
Rygar: The Legendary Adventure,Action
Syphon Filter: Logan's Shadow,Shooter
Super Batter Up,Sports
Kessen II,Strategy
Crayon Shin-Chan: Arashi o Yobu Enji,Platform
Stuart Little 2,Platform
Tak 2: The Staff of Dreams,Platform
SingStar Amped,Misc
Brothers In Arms: Earned in Blood,Shooter
The Evil Within,Action
Dragon Ball Z: Sagas,Fighting
Scooby-Doo,Platform
MX vs. ATV: Alive,Racing
Hydro Thunder,Racing
NHL FaceOff '97,Sports
Thief (2014),Action
The Walking Dead: Season One,Adventure
NBA Live 07,Sports
Brothers In Arms: Road to Hill 30,Shooter
The Legend of Spyro: Dawn of the Dragon,Platform
Gremlins,Action
The Mark of Kri,Action
Need for Speed: Hot Pursuit,Racing
Jampack Winter 2003 (RP-M),Misc
Rugrats: Castle Capers,Action
Crash Nitro Kart,Racing
Crayola: Treasure Adventures,Puzzle
LEGO The Hobbit,Action
Silent Hill: Downpour,Action
Mega Man Star Force 3: Black Ace / Red Joker,Action
WWE SmackDown vs. Raw 2011,Fighting
Jak and Daxter: The Lost Frontier,Platform
Momotarou Dentetsu 11,Misc
Disney Infinity 3.0,Action
The Sims 3: Outdoor Living Stuff,Simulation
Star Wars: Demolition,Racing
Bloody Roar II,Fighting
Delta Force: Black Hawk Down,Shooter
The Princess and the Frog,Platform
Space Invaders,Shooter
.hack//Outbreak Part 3,Role-Playing
Mother 1+2,Role-Playing
MX vs. ATV Untamed,Racing
Boom Blox Bash Party,Puzzle
Top Spin,Sports
Brothers In Arms: D-Day,Shooter
Warhawk,Simulation
The Golden Compass,Action
Tomb Raider: Legend,Action
Just Dance 2014,Misc
Tales of Vesperia,Role-Playing
2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild,Platform
Dora The Explorer: Dora Saves the Snow Princess,Platform
Missile Command,Shooter
FIFA 15,Sports
Jikkyou Powerful Pro Yakyuu 3,Sports
Jikkyou Powerful Pro Yakyuu 12,Sports
Enter the Matrix,Action
LEGO The Hobbit,Action
NASCAR 2005: Chase for the Cup,Racing
J-League Excite Stage '95,Sports
Vin Diesel: Wheelman,Racing
NHL 15,Sports
Phantasy Star Online Episode I & II,Role-Playing
PlayStation All-Stars Battle Royale,Action
The Powerpuff Girls: Relish Rampage,Action
Bleach: The Blade of Fate,Fighting
American Girl: Kit Mystery Challenge!,Adventure
Country Dance 2,Misc
The Chronicles of Riddick: Escape from Butcher Bay,Shooter
NFL Head Coach,Sports
Ghostbusters,Puzzle
Nickelodeon Team Umizoomi,Action
NCAA Gamebreaker 99,Sports
Tomb Raider: Underworld,Action
Area 51,Shooter
World Stadium 2,Sports
NHL 2005,Sports
The New York Times Crosswords,Puzzle
Karaoke Revolution Presents American Idol Encore,Misc
Barbie as The Island Princess,Adventure
Lego Batman 3: Beyond Gotham,Action
iCarly,Adventure
Star Wars Jedi Knight: Jedi Academy,Shooter
Phoenix,Simulation
Dynasty Warriors: Strikeforce,Action
Brain Challenge,Misc
Command & Conquer: Red Alert 3,Strategy
Enemy Territory: Quake Wars,Shooter
Major League Baseball 2K11,Sports
Harvest Moon DS (US sales),Simulation
Apocalypse,Action
ATV Offroad Fury Pro,Racing
Burnout Dominator,Racing
Yu-Gi-Oh! Destiny Board Traveler,Misc
God Eater 2,Role-Playing
Scooby-Doo! and the Spooky Swamp,Action
Crash of the Titans,Action
World Soccer Winning Eleven 5 Final Evolution,Sports
Red Faction: Armageddon,Shooter
Sphinx and the Cursed Mummy,Action
Fatal Fury 2,Fighting
Rampage World Tour,Action
Pokemon Puzzle League,Puzzle
PES 2009: Pro Evolution Soccer,Sports
Despicable Me: The Game - Minion Mayhem,Puzzle
Lego Batman 3: Beyond Gotham,Action
Tekken Advance,Fighting
Shin Megami Tensei: Persona 3,Role-Playing
Persona,Role-Playing
Hot Wheels: Stunt Track Challenge,Racing
My Fashion Studio,Misc
Maze Craze: A Game of Cops 'n Robbers,Action
Mobile Suit Gundam,Action
TNA iMPACT!,Fighting
Pirates of the Caribbean: At World's End,Action
Bee Movie Game,Action
Sega Rally Revo,Racing
SingStar Take That,Misc
Final Fantasy Collection,Role-Playing
Disney Sing It! High School Musical 3: Senior Year,Misc
Samurai Warriors: Xtreme Legends,Action
LEGO Rock Band,Misc
NHL FaceOff,Sports
WWE WrestleMania 21,Fighting
NBA Live 2005,Sports
F.E.A.R. 3,Shooter
Defender II,Shooter
WWE Day of Reckoning,Fighting
NBA Live 10,Sports
ATV Quad Power Racing 2,Racing
Harry Potter and the Deathly Hallows - Part 1,Action
Walt Disney World Quest: Magical Racing Tour,Racing
Pro Evolution Soccer 2017,Sports
Sled Storm,Racing
Vandal Hearts,Role-Playing
Dead or Alive: Dimensions,Fighting
Disney Infinity 3.0,Action
We Sing Encore,Misc
Wolfenstein: The New Order,Shooter
Deadpool,Action
Jawbreaker,Action
Scooby-Doo! Mystery Mayhem,Action
Watch Dogs,Action
Mario Golf: Advance Tour,Sports
Celebrity Sports Showdown,Sports
F.E.A.R. 3,Shooter
Disney Guilty Party,Misc
Silent Hill: Homecoming,Action
Yu-Gi-Oh! Capsule Monster Coliseum,Misc
"Warhammer 40,000: Space Marine",Shooter
Discovery Kids: Kitten Corner,Simulation
Rock Band Country Track Pack,Misc
Major League Baseball 2K6,Sports
Brunswick Pro Bowling,Sports
Jampack Volume 13 (RP-M),Misc
World Soccer Winning Eleven 9,Sports
NBA Live 2000,Sports
Teenage Mutant Ninja Turtles 2: Battle Nexus,Action
"SpongeBob SquarePants: Lights, Camera, Pants!",Misc
The Thing,Adventure
Van Helsing,Action
Mario Tennis Ultra Smash,Sports
Virtua Tennis 4,Sports
X-Men Legends II: Rise of Apocalypse,Role-Playing
Naruto Shippuden: Ultimate Ninja Storm Generations,Fighting
Wolfenstein: The New Order,Shooter
Skylanders: Trap Team,Action
Worms: Open Warfare 2,Strategy
Transformers: Revenge of the Fallen (Wii & PS2 Version),Action
Spawn: Armageddon,Action
The Godfather (US sales),Action
Sid Meier's Civilization Revolution,Strategy
World Stadium EX,Sports
Tiger Woods PGA Tour 2003,Sports
Battlefield 2: Modern Combat,Shooter
50 Cent: Bulletproof,Action
Densetsu no Stafi 2,Platform
Independence Day,Shooter
Tony Hawk's Proving Ground,Sports
Chocobo Racing,Racing
Disney Infinity 2.0: Marvel Super Heroes,Action
LEGO Star Wars II: The Original Trilogy,Action
Viking: Battle for Asgard,Action
Petz: Catz 2,Simulation
Dragon Quest Heroes: Rocket Slime,Action
Gundam SEED: Federation vs. Z.A.F.T.,Shooter
Ms. Pac-Man Maze Madness,Puzzle
Blood Omen: Legacy of Kain,Role-Playing
Super Bomberman 4,Puzzle
Fable,Role-Playing
Family Fest Presents Circus Games,Misc
Dance Dance Revolution: Hottest Party 3,Simulation
Bomberman II,Puzzle
Duke Nukem 64,Shooter
Transformers: Dark of the Moon - Autobots/Decepticons,Action
The Urbz: Sims in the City (all regions sales),Simulation
"SpongeBob SquarePants: Lights, Camera, Pants!",Misc
Super Robot Taisen OG: Original Generations,Strategy
G-Force,Action
Army Men World War: Final Front,Action
Transformers: Fall of Cybertron,Action
SOCOM: U.S. Navy SEALs Fireteam Bravo 3,Shooter
MX Unleashed,Racing
Puppy Luv: Spa and Resort,Simulation
Jikkyou Powerful Pro Yakyuu 9,Sports
Grind Session,Sports
Naruto: Gekito Ninja Taisen! 3,Fighting
Madden NFL 12,Sports
Wario World,Platform
DmC: Devil May Cry,Action
Scooby-Doo! Mystery Mayhem,Action
Super Breakout,Puzzle
FIFA Soccer 13,Action
The Legend of Spyro: Dawn of the Dragon,Platform
Taiko no Tatsujin: Doki! Shinkyoku Darake no Haru Matsuri,Misc
Samurai Warriors 3,Action
Ben 10 Alien Force: Vilgax Attacks,Action
TimeSplitters 2,Shooter
Battlebots: Design & Destroy,Action
Robert Ludlum's The Bourne Conspiracy,Action
Eternal Darkness: Sanity's Requiem,Adventure
Food Network: Cook or Be Cooked,Misc
Power Rangers: S.P.D.,Action
Naruto: Ultimate Ninja 3,Fighting
The Darkness,Shooter
Thrillville: Off the Rails,Strategy
Jump Start Pet Rescue,Misc
SingStar Motown,Misc
Child of Eden,Shooter
Neon Genesis Evangelion,Adventure
Mobile Suit Gundam: One Year War,Action
Spider-Man: Shattered Dimensions,Action
Tongari Boushi to Mahou no Otana,Simulation
NFL Blitz 20-03,Sports
SpongeBob's Atlantis SquarePantis,Action
Eternal Sonata,Role-Playing
SingStar Queen,Misc
Karaoke Revolution,Misc
Star Wars: Jedi Starfighter,Simulation
Walk it Out!,Sports
Classic NES Series: Metroid,Adventure
Nicktoons: Attack of the Toybots,Platform
Primal,Action
Need for Speed: Shift 2 Unleashed,Racing
Yu-Gi-Oh! 5D's Tag Force 4,Strategy
Ninja Gaiden 3,Action
Band Hero,Misc
Need for Speed Underground 2,Racing
Madden NFL 2002,Sports
007: Quantum of Solace,Action
Master of Illusion,Puzzle
Spec Ops: Covert Assault,Shooter
SSX Tricky,Sports
Flight Control Rocket,Simulation
Tetris Axis,Puzzle
Borderlands: The Handsome Collection,Shooter
Sleeping Dogs,Action
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",Action
NiGHTS into dreams...,Platform
Star Wars The Clone Wars: Republic Heroes,Action
NCAA Football 2004,Sports
Bionicle,Action
Hyrule Warriors,Action
DanceStar Party,Misc
Naruto Shippuden: Ultimate Ninja Storm Revolution,Fighting
Naughty Bear,Action
MLB 2002,Sports
Deadpool,Action
Lego Batman 3: Beyond Gotham,Action
MLB 14: The Show,Sports
Devil May Cry HD Collection,Action
Hyperdimension Neptunia,Role-Playing
TimeSplitters,Shooter
Barnstorming,Action
InuYasha: The Secret of the Cursed Mask,Role-Playing
The Powerpuff Girls: Him and Seek,Platform
Mega Man Zero 2,Platform
My Spanish Coach,Misc
Wonder Project J: Kikai no Shonen Pino,Simulation
Payday 2,Shooter
WWE 2K16,Sports
Dragon Ball Z: Shin Budokai - Another Road,Fighting
The Fairly Odd Parents: Game Boy Advance Video Volume 1,Misc
Mass Effect Trilogy,Action
Ghostbusters: The Video Game,Action
Hunter: The Reckoning  Wayward,Action
Mischief Makers,Platform
WipEout 64,Racing
EyeToy: AntiGrav,Sports
Dora the Explorer: Dora Puppy,Misc
EverQuest Online Adventures,Role-Playing
OkamiDen,Adventure
Cool Boarders,Sports
Hometown Story,Role-Playing
Just Dance 4,Misc
Mobile Suit Gundam: Zeonic Front,Simulation
Monopoly,Misc
TouchMaster 3,Puzzle
Dawn of Mana,Role-Playing
Castlevania: Dawn of Sorrow,Platform
Max Payne 3,Shooter
Barbie: Groom and Glam Pups,Action
Tales of the World: Radiant Mythology,Role-Playing
Petz Bunnyz,Simulation
Alpha Protocol,Role-Playing
Wolfenstein: The Old Blood,Action
Deer Drive,Sports
Petz: Horsez 2,Simulation
Rayman Legends,Platform
Madden NFL 2003,Sports
Backyard Baseball,Sports
Midway Arcade Treasures,Misc
Disney Sing It,Misc
Remington Great American Bird Hunt,Sports
Microsoft Flight Simulator X,Simulation
Bakugan: Battle Brawlers,Action
NHL FaceOff 99,Sports
SEGA Classics Collection,Misc
Crash: Mind Over Mutant,Platform
Naruto: Ninja Council 3,Action
Dai-2-Ji Super Robot Taisen Z: Hakai-hen,Strategy
Neon Genesis Evangelion 2nd Impression,Role-Playing
NBA Street,Sports
Def Jam Icon,Action
2014 FIFA World Cup Brazil,Sports
The Legend of Spyro: The Eternal Night,Platform
Atelier Totori: The Adventurer of Arland,Role-Playing
Mega Man Battle Network,Role-Playing
Juiced: Eliminator,Racing
25 to Life,Shooter
NHL 2K6,Sports
Medal of Honor: Rising Sun,Shooter
The Sims,Simulation
Dog's Life,Adventure
The X Files,Adventure
Super Wagyan Land,Action
Rascal,Action
"Barbie: Jet, Set & Style!",Misc
Tony Hawk's American Wasteland,Sports
Command & Conquer 3: Tiberium Wars,Strategy
Sin and Punishment: Star Successor,Shooter
Crash: Mind Over Mutant,Platform
Ben 10 Alien Force: Vilgax Attacks,Action
Famicom Mini: Super Mario Bros. 2,Platform
Colony Wars,Simulation
All-Star Baseball 2004,Sports
Big Strike Bowling,Sports
Skylanders: SuperChargers,Action
Ben 10 Alien Force: Vilgax Attacks,Action
NASCAR Thunder 2002,Racing
Batman: Arkham Origins Blackgate,Action
Zone of the Enders HD Collection,Simulation
Grandia,Role-Playing
2010 FIFA World Cup South Africa,Sports
ESPN NHL 2K5,Sports
Yu-Gi-Oh! 7 Trials to Glory: World Championship Tournament 2005,Misc
Hot Wheels World Race,Racing
Avatar: The Last Airbender - The Burning Earth,Action
Superman: Shadow of Apokolips,Action
Trials Fusion,Racing
American Chopper,Racing
NASCAR Kart Racing,Racing
Star Wars Trilogy: Apprentice of the Force,Action
Guitar Hero: Smash Hits,Misc
Lemony Snicket's A Series of Unfortunate Events,Platform
JGTC: All-Japan Grand Touring Car Championship,Racing
Virtua Tennis 4: World Tour,Sports
Arc the Lad III,Role-Playing
Just Dance: Summer Party,Misc
SpongeBob's Truth or Square (US sales),Action
Mobile Suit Gundam: Gundam vs. Gundam,Fighting
Test Drive,Racing
Jikkyou Powerful Pro Yakyuu 11,Sports
Petz: Horsez 2,Simulation
The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,Action
Pirates of the Caribbean: At World's End,Action
Dr. Mario 64,Puzzle
Jikkyou Powerful Pro Yakyuu 6,Sports
Army Men: Sarge's Heroes 2,Shooter
Rush 2: Extreme Racing USA,Racing
NFL Blitz 2001,Sports
James Bond 007: Everything or Nothing,Shooter
NBA Live 06,Sports
MLB 08: The Show,Sports
Horsez,Simulation
Dance Dance Revolution Ultramix 2,Simulation
Mega Man Anniversary Collection,Platform
Crash: Mind Over Mutant,Platform
Super Famista 4,Sports
The Fairly Odd Parents: Game Boy Advance Video Volume 2,Misc
How to Train Your Dragon,Action
Cabela's Legendary Adventures,Sports
Story of Seasons,Simulation
Taiko no Tatsujin DS: Dororon! Youkai Daikessen!!,Misc
Harry Potter and the Goblet of Fire,Action
Thrillville: Off the Rails,Strategy
Metro: Last Light,Action
NBA 2K11,Action
Mega Man X6,Action
BloodRayne,Shooter
Kumamon Bomber: Puzzle de Kumamon Taisou,Puzzle
Castlevania: Curse of Darkness,Action
NBA 2K13,Sports
International Superstar Soccer Pro '98,Sports
LEGO Rock Band,Misc
Jimmy Neutron: Boy Genius,Platform
Black,Shooter
Double Pack: Finding Nemo / The Incredibles,Action
Spec Ops: The Line,Shooter
NHL Slapshot,Sports
Paper Mario: Color Splash,Role-Playing
